State,Seasonal n,Seasonal %,Seasonal CI,2009 H1N1 n,2009 H1N1 %,2009 H1N1 CI,Location 1
Arkansas,1055,46.7,±4.1,1063,39.2,±3.9,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Arkansas"",""zip"":""""}', 'latitude': '34.74865012400045', 'needs_recoding': False, 'longitude': '-92.27449074299966'}"
Colorado,1317,52.8,±3.8,1316,44.2,±3.8,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Colorado"",""zip"":""""}', 'latitude': '38.843840757000464', 'needs_recoding': False, 'longitude': '-106.13361092099967'}"
Florida,927,26.1,±3.3,924,28.7,±3.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Florida"",""zip"":""""}', 'latitude': '28.932040377000476', 'needs_recoding': False, 'longitude': '-81.92896053899966'}"
Georgia,614,29.9,±5.6,617,28.4,±5.6,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Georgia"",""zip"":""""}', 'latitude': '32.83968109300048', 'needs_recoding': False, 'longitude': '-83.62758034599966'}"
Hawaii,974,50.3,±4.0,987,44.9,±4.0,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Hawaii"",""zip"":""""}', 'latitude': '21.304850435000446', 'needs_recoding': False, 'longitude': '-157.85774940299973'}"
Illinois,1071,47.1,±3.2,1079,37.7,±3.1,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Illinois"",""zip"":""""}', 'latitude': '40.48501028300046', 'needs_recoding': False, 'longitude': '-88.99771017799969'}"
Lousianna,540,39.6,±5.2,546,28.8,±4.8,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Lousianna"",""zip"":""""}', 'needs_recoding': False}"
Maine,709,64.0,±4.0,709,58.5,±4.1,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Maine"",""zip"":""""}', 'latitude': '45.254228894000505', 'needs_recoding': False, 'longitude': '-68.98503133599962'}"
Maryland,1080,46.1,±4.5,1086,41.0,±4.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Maryland"",""zip"":""""}', 'latitude': '39.29058096400047', 'needs_recoding': False, 'longitude': '-76.60926011099963'}"
Massachusetts,996,67.5,±4.0,996,57.6,±4.2,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Massachusetts"",""zip"":""""}', 'latitude': '42.27687047000046', 'needs_recoding': False, 'longitude': '-72.08269067499964'}"
Michigan,1000,44.7,±3.6,1009,37.6,±3.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Michigan"",""zip"":""""}', 'latitude': '44.6613195430005', 'needs_recoding': False, 'longitude': '-84.71439026999968'}"
Minnesota,917,67.9,±3.3,919,52.5,±3.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Minnesota"",""zip"":""""}', 'latitude': '46.35564873600049', 'needs_recoding': False, 'longitude': '-94.79420050299967'}"
Mississippi,862,37.2,±4.0,866,21.9,±3.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Mississippi"",""zip"":""""}', 'latitude': '32.745510099000455', 'needs_recoding': False, 'longitude': '-89.53803082499968'}"
Missouri,973,42.8,±3.7,983,38.2,±3.6,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Missouri"",""zip"":""""}', 'latitude': '38.635790776000476', 'needs_recoding': False, 'longitude': '-92.56630005299968'}"
Nebraska,1198,65.4,±3.2,1207,56.5,±3.3,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Nebraska"",""zip"":""""}', 'latitude': '41.6410409880005', 'needs_recoding': False, 'longitude': '-99.36572062299967'}"
New Jersey,1053,36.8,±3.2,1073,32.2,±3.0,"{'human_address': '{""address"":"""",""city"":"""",""state"":""New Jersey"",""zip"":""""}', 'latitude': '40.13057004800049', 'needs_recoding': False, 'longitude': '-74.27369128799967'}"
New York,1587,50.5,±3.1,1617,38.4,±3.0,"{'human_address': '{""address"":"""",""city"":"""",""state"":""New York"",""zip"":""""}', 'latitude': '42.82700103200045', 'needs_recoding': False, 'longitude': '-75.54397042699964'}"
Ohio,829,42.7,±4.5,833,40.4,±4.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Ohio"",""zip"":""""}', 'latitude': '40.06021014100048', 'needs_recoding': False, 'longitude': '-82.40426005599966'}"
Oklahoma,1432,49.1,±4.4,1453,33.0,±4.2,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Oklahoma"",""zip"":""""}', 'latitude': '35.47203135600046', 'needs_recoding': False, 'longitude': '-97.52107021399968'}"
Rhode Island,821,63.7,±3.9,823,62.9,±3.9,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Rhode Island"",""zip"":""""}', 'latitude': '41.70828019300046', 'needs_recoding': False, 'longitude': '-71.52247031399963'}"
South Carolina,676,45.3,±6.5,684,40.3,±6.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""South Carolina"",""zip"":""""}', 'latitude': '33.998821303000454', 'needs_recoding': False, 'longitude': '-81.04537120699968'}"
Tennessee,650,41.2,±5.1,659,29.9,±4.4,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Tennessee"",""zip"":""""}', 'latitude': '35.68094058000048', 'needs_recoding': False, 'longitude': '-85.77449091399967'}"
Texas,898,44.9,±4.1,909,40.4,±4.0,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Texas"",""zip"":""""}', 'latitude': '31.827240407000488', 'needs_recoding': False, 'longitude': '-99.42677020599967'}"
Utah,1124,57.8,±3.2,1139,47.2,±3.2,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Utah"",""zip"":""""}', 'latitude': '39.360700171000474', 'needs_recoding': False, 'longitude': '-111.58713063499971'}"
Vermont,742,66.3,±3.4,744,63.3,±3.5,"{'human_address': '{""address"":"""",""city"":"""",""state"":""Vermont"",""zip"":""""}', 'latitude': '43.62538123900049', 'needs_recoding': False, 'longitude': '-72.51764079099962'}"
